0;ZYKOV;NAZAR
1;D'YAKOV;RUSLAN
2;SAKHAROV;DMITRIY
3;KISELEV;RODION
4;NIKOLAEV;ALEXANDR
5;TIKHONOVA;EL'VIRA
6;KAZANTSEVA;NIKA
7;KAS'YANOV;MIKHAIL
8;SAFONOVA;ALINA
9;GROMOV;GRIGORIY
10;MAXIMOVA;NADEZHDA
11;EFREMOV;ARTEMIY
12;FILATOV;SVYATOGOR
13;KIRILLOVA;KAROLINA
14;KRASNOV;VYACHESLAV
15;EREMINA;AGATA
16;KUZ'MIN;TAMERLAN
17;MARKINA;NELLI
18;PANINA;EL'VIRA
19;SERGEEVA;ALEXANDRA
20;GONCHAROVA;POLINA
21;SOMOVA;VARVARA
22;TSVETKOVA;VASILINA
23;LEONT'EVA;ANZHELIKA
24;MOLCHANOVA;ALENA
25;BOBROV;IGOR'
26;MAXIMOVA;EL'MIRA
27;VAVILOV;YAN
28;BELOVA;DIANA
29;AGAFONOV;DEMID
30;ORLOV;PETR
31;MATVEEVA;LIANA
32;YUDIN;DMITRIY
33;BELOV;PAVEL
34;VORONTSOVA;ALEXANDRA
35;BYCHKOVA;INNA
36;TUMANOVA;VERA
37;TROITSKAYA;OXANA
38;PONOMAREVA;ADELINA
39;KOSHELEV;DAMIR
40;LARIN;MARK
41;BELYAKOVA;SNEZHANA
42;BELIKOV;STANISLAV
43;ZYKOV;ZAKHAR
44;LEBEDEV;SVYATOGOR
45;POLYAKOV;SVYATOGOR
46;BELIKOVA;VERA
47;KRAVTSOV;DMITRIY
48;MALYSHEVA;ELIZAVETA
49;ALEKHIN;NIKOLAY
50;NIKOL'SKAYA;LYUBOV'
51;KOROL'KOV;KIRILL
52;SAVEL'EV;KONSTANTIN
53;BELOV;LEONID
54;EREMEEVA;KARINA
55;ZVYAGINTSEVA;MELANIYA
56;ERSHOV;MARSEL'
57;SEROV;NIKITA
58;EFREMOV;YAROSLAV
59;KONDRASHOVA;ELIZAVETA
60;GOLOVANOV;ARTEMIY
61;YUDINA;AGATA
62;KULAKOV;AMIR
63;SHUBINA;SVETLANA
